Wall time,Step,Value
1606342710.2166893,368,1200.0
1606342714.603903,608,600.0
1606342718.6791468,848,800.0
1606342722.9128249,1088,100.0
1606342726.6859543,1328,500.0
1606342731.6197999,1568,300.0
1606342736.7192416,1808,500.0
1606342740.5430412,2048,200.0
1606342742.539042,2288,1400.0
1606342746.2986252,2528,700.0
1606342750.7940462,2768,200.0
1606342754.951196,3008,400.0
1606342758.907242,3248,600.0
1606342762.3546207,3488,1500.0
1606342766.514823,3728,200.0
1606342770.3846374,3968,700.0
1606342772.4585092,4208,800.0
1606342776.4309227,4448,900.0
1606342780.3306906,4688,400.0
1606342784.1695125,4928,500.0
1606342787.9440258,5168,900.0
1606342792.1129546,5408,1000.0
1606342796.6341417,5648,200.0
1606342800.3100827,5888,300.0
1606342802.1482494,6128,1200.0
1606342806.049988,6368,400.0
1606342809.3634262,6608,1200.0
1606342812.9823005,6848,0.0
1606342817.17626,7088,600.0
1606342821.7368217,7328,200.0
1606342825.417102,7568,600.0
1606342829.181335,7808,1000.0
1606342830.9748414,8048,400.0
1606342834.929715,8288,900.0
1606342838.9370985,8528,400.0
1606342843.020247,8768,500.0
1606342846.8388393,9008,100.0
1606342850.4604247,9248,800.0
1606342853.9254577,9488,900.0
1606342858.0046082,9728,900.0
1606342860.5167866,9968,400.0
1606342864.4813905,10208,1000.0
1606342869.0297728,10448,0.0
1606342872.5573816,10688,1100.0
1606342876.2255013,10928,300.0
1606342880.0716364,11168,500.0
1606342883.4947982,11408,500.0
1606342887.4050164,11648,600.0
1606342889.3878534,11888,900.0
1606342893.3063703,12128,300.0
1606342897.2894466,12368,400.0
1606342900.9285064,12608,300.0
1606342904.6217818,12848,1000.0
1606342908.5900538,13088,400.0
1606342912.5098379,13328,800.0
1606342915.973155,13568,600.0
1606342918.0608552,13808,0.0
1606342922.2938707,14048,300.0
1606342926.1331868,14288,700.0
1606342930.063154,14528,600.0
1606342934.330961,14768,300.0
1606342937.7540662,15008,400.0
1606342941.911321,15248,800.0
1606342945.6597543,15488,400.0
1606342947.8694575,15728,600.0
1606342951.5328217,15968,1000.0
1606342955.239787,16208,1000.0
1606342959.1941714,16448,600.0
1606342962.8076506,16688,700.0
1606342966.614901,16928,1100.0
1606342970.837535,17168,200.0
1606342975.1278126,17408,500.0
1606342977.526609,17648,600.0
1606342982.0226,17888,700.0
1606342986.1453137,18128,300.0
1606342990.3777392,18368,0.0
1606342995.4433157,18608,200.0
1606342999.8424766,18848,100.0
1606343003.856278,19088,500.0
1606343008.1156957,19328,1100.0
1606343010.1703243,19568,1300.0
1606343014.2909417,19808,600.0
1606343018.6552489,20048,1000.0
1606343022.6385214,20288,700.0
1606343026.3416486,20528,400.0
1606343030.2930562,20768,1400.0
1606343034.802346,21008,800.0
1606343039.2995443,21248,600.0
1606343041.5183654,21488,900.0
1606343046.3522832,21728,400.0
1606343050.6563826,21968,600.0
1606343055.3881881,22208,500.0
1606343060.783796,22448,200.0
1606343065.1541755,22688,900.0
1606343069.71035,22928,300.0
1606343074.5625994,23168,400.0
1606343076.9402761,23408,400.0
1606343080.98452,23648,1000.0
1606343086.1412547,23888,0.0
1606343090.7944143,24128,200.0
1606343095.0738196,24368,1000.0
1606343099.4077325,24608,400.0
1606343103.798442,24848,1200.0
1606343108.5970778,25088,1000.0
1606343110.7135286,25328,500.0
1606343115.424808,25568,100.0
1606343119.895149,25808,400.0
1606343124.4107285,26048,700.0
1606343129.15181,26288,0.0
1606343133.8330758,26528,600.0
1606343138.3180616,26768,400.0
1606343142.7366793,27008,900.0
1606343144.7588232,27248,500.0
1606343150.6909719,27488,100.0
1606343155.0527663,27728,1000.0
1606343159.6406627,27968,500.0
1606343164.1173105,28208,800.0
1606343168.6553464,28448,200.0
1606343173.0965497,28688,600.0
1606343177.587537,28928,700.0
1606343180.1304872,29168,800.0
1606343184.6439738,29408,100.0
1606343189.7835703,29648,200.0
