Wall time,Step,Value
1606318290.684792,368,-3800.0
1606318292.053785,608,-3200.0
1606318293.778277,848,-4300.0
1606318295.4882855,1088,-4400.0
1606318297.2160308,1328,-4400.0
1606318298.8554938,1568,-4100.0
1606318300.6497495,1808,-4700.0
1606318302.33989,2048,-4000.0
1606318303.2382526,2288,-4300.0
1606318304.9504738,2528,-3800.0
1606318306.7034762,2768,-4500.0
1606318308.3113298,3008,-3900.0
1606318310.0113308,3248,-4200.0
1606318311.5901968,3488,-3900.0
1606318313.2180274,3728,-4100.0
1606318314.8630729,3968,-4000.0
1606318315.7597442,4208,-3800.0
1606318317.7372088,4448,-4400.0
1606318319.8288276,4688,-4600.0
1606318321.6325705,4928,-3700.0
1606318323.4310882,5168,-3800.0
1606318325.3410695,5408,-4300.0
1606318327.268967,5648,-4200.0
1606318329.1213212,5888,-4400.0
1606318330.0397706,6128,-4200.0
1606318332.007177,6368,-4700.0
1606318333.8358917,6608,-4200.0
1606318335.7648048,6848,-4600.0
1606318337.7451673,7088,-4600.0
1606318339.6114821,7328,-4300.0
1606318341.3782814,7568,-3700.0
1606318343.203308,7808,-4000.0
1606318344.1463656,8048,-4200.0
1606318346.0965092,8288,-4400.0
1606318347.7949498,8528,-3500.0
1606318349.6412094,8768,-4100.0
1606318351.5140975,9008,-4000.0
1606318353.2776766,9248,-3900.0
1606318355.1600199,9488,-3900.0
1606318357.2797525,9728,-4500.0
1606318358.1782744,9968,-4000.0
1606318360.0087821,10208,-4200.0
1606318361.7744944,10448,-3800.0
1606318363.7416317,10688,-4600.0
1606318365.4454904,10928,-3800.0
1606318367.1501973,11168,-3900.0
1606318368.9677286,11408,-4000.0
1606318370.848174,11648,-4400.0
1606318371.7759404,11888,-4200.0
1606318373.7962372,12128,-4700.0
1606318375.542701,12368,-3800.0
1606318377.4228034,12608,-4100.0
1606318379.4391162,12848,-4700.0
1606318381.3096893,13088,-4400.0
1606318383.2316453,13328,-4100.0
1606318385.1613307,13568,-4700.0
1606318386.1602235,13808,-4400.0
1606318387.9549518,14048,-4100.0
1606318389.7826333,14288,-4100.0
1606318391.6396716,14528,-4200.0
1606318393.5182645,14768,-4200.0
1606318395.367525,15008,-4200.0
1606318397.1664224,15248,-3700.0
1606318399.1891055,15488,-4700.0
1606318400.1500597,15728,-4200.0
1606318402.1147969,15968,-4400.0
1606318404.107605,16208,-4600.0
1606318406.00434,16448,-4300.0
1606318407.964117,16688,-4500.0
1606318409.8339915,16928,-4100.0
1606318411.6677115,17168,-4600.0
1606318413.4242141,17408,-3400.0
1606318414.4590597,17648,-4600.0
1606318416.3104696,17888,-4200.0
1606318418.318086,18128,-4500.0
1606318419.9569633,18368,-3600.0
1606318421.812503,18608,-4300.0
1606318423.6834016,18848,-4400.0
1606318425.5016432,19088,-4300.0
1606318427.3238907,19328,-4000.0
1606318428.2607632,19568,-4300.0
1606318429.956903,19808,-3700.0
1606318431.6535861,20048,-3800.0
1606318433.5174458,20288,-4300.0
1606318435.2244859,20528,-3600.0
1606318437.2278917,20768,-4600.0
1606318439.2243896,21008,-4600.0
1606318441.0785933,21248,-4500.0
1606318441.9761689,21488,-3900.0
1606318443.9469717,21728,-4500.0
1606318445.840329,21968,-4300.0
1606318447.5394847,22208,-3600.0
1606318449.5790966,22448,-4300.0
1606318451.573492,22688,-4600.0
1606318453.5870898,22928,-4700.0
1606318455.555729,23168,-4600.0
1606318456.5651822,23408,-4700.0
1606318458.3771427,23648,-4100.0
1606318460.2585652,23888,-4300.0
1606318462.124832,24128,-4100.0
1606318464.1071815,24368,-4700.0
1606318466.1068518,24608,-4500.0
1606318468.065285,24848,-4700.0
1606318469.8380966,25088,-3900.0
1606318470.7621205,25328,-4200.0
1606318472.6114082,25568,-4200.0
1606318474.2736335,25808,-3600.0
1606318476.2287405,26048,-4300.0
1606318478.1452463,26288,-4300.0
1606318480.0235505,26528,-4300.0
1606318481.8630674,26768,-3900.0
1606318483.7789614,27008,-4300.0
1606318484.7273731,27248,-4200.0
1606318486.7591283,27488,-4700.0
1606318488.759386,27728,-4600.0
1606318490.7159097,27968,-4700.0
1606318492.3752713,28208,-3500.0
1606318494.3233094,28448,-4400.0
1606318496.3365378,28688,-4700.0
1606318498.2147825,28928,-4500.0
1606318499.1604173,29168,-4200.0
1606318500.9153728,29408,-4000.0
1606318502.8597958,29648,-4400.0
1606318504.7037354,29888,-3900.0
1606318506.6377456,30128,-4600.0
1606318508.5076613,30368,-4200.0
1606318510.4232728,30608,-4400.0
1606318512.357325,30848,-4100.0
1606318513.3657613,31088,-4600.0
1606318515.2702255,31328,-4400.0
1606318517.2936726,31568,-4700.0
1606318519.0002022,31808,-3600.0
1606318520.895978,32048,-4300.0
1606318522.8671746,32288,-4700.0
1606318524.8501925,32528,-4600.0
1606318526.8305528,32768,-4600.0
1606318530.3275025,33008,-4400.0
1606318532.2820966,33248,-4400.0
1606318534.0464866,33488,-3900.0
1606318535.986543,33728,-4600.0
1606318537.8107445,33968,-4000.0
1606318539.901555,34208,-4400.0
1606318541.8426065,34448,-4500.0
1606318543.847634,34688,-4200.0
1606318544.8953655,34928,-4600.0
1606318546.7895722,35168,-4200.0
1606318548.7769523,35408,-4500.0
1606318550.7473845,35648,-4500.0
1606318552.682986,35888,-4600.0
1606318554.4148414,36128,-3800.0
1606318556.2498353,36368,-3800.0
1606318558.119668,36608,-4300.0
1606318559.0059898,36848,-3800.0
1606318561.1835358,37088,-4300.0
1606318563.3587835,37328,-4800.0
1606318565.4740374,37568,-3700.0
1606318567.64775,37808,-4500.0
1606318569.5440428,38048,-3700.0
1606318571.451223,38288,-3700.0
1606318573.2873027,38528,-4200.0
1606318574.1125646,38768,-3300.0
1606318576.2001994,39008,-4600.0
1606318578.2275126,39248,-4200.0
1606318580.2064009,39488,-4300.0
1606318582.1717005,39728,-4200.0
1606318584.0805724,39968,-3800.0
1606318586.212984,40208,-4500.0
1606318588.3176348,40448,-4700.0
1606318589.3361824,40688,-4400.0
1606318591.2401934,40928,-4100.0
1606318593.1208656,41168,-3900.0
1606318595.0432696,41408,-4200.0
1606318596.932811,41648,-3800.0
1606318598.9831164,41888,-4400.0
1606318600.9473095,42128,-4200.0
1606318602.8884816,42368,-4600.0
1606318603.8420165,42608,-4100.0
1606318605.853328,42848,-4300.0
1606318607.773342,43088,-3700.0
1606318609.7897031,43328,-4300.0
1606318611.6142156,43568,-3700.0
1606318613.5643,43808,-4000.0
1606318615.6275845,44048,-4600.0
1606318617.5879905,44288,-4400.0
1606318618.5513766,44528,-3900.0
1606318620.5944638,44768,-4600.0
1606318622.4290903,45008,-3900.0
1606318624.3091686,45248,-4000.0
1606318626.1625044,45488,-3900.0
1606318627.9969063,45728,-3700.0
1606318629.9948447,45968,-4400.0
1606318631.9896398,46208,-4500.0
1606318632.9492207,46448,-4200.0
1606318634.7894902,46688,-3900.0
1606318636.739932,46928,-4000.0
1606318638.9087136,47168,-4500.0
1606318640.8954,47408,-4100.0
1606318643.0318148,47648,-4700.0
1606318644.968444,47888,-4000.0
1606318646.8893511,48128,-4000.0
1606318647.8702474,48368,-4300.0
1606318649.7474341,48608,-4100.0
1606318651.611216,48848,-4000.0
1606318653.5156572,49088,-4100.0
1606318655.5844018,49328,-4800.0
1606318657.4918196,49568,-4100.0
1606318659.6046715,49808,-4500.0
1606318661.7033203,50048,-4800.0
1606318662.730644,50288,-4300.0
1606318664.6277716,50528,-3900.0
1606318666.7680962,50768,-4700.0
1606318668.68897,51008,-3800.0
1606318670.6622496,51248,-4100.0
1606318672.5823436,51488,-3600.0
1606318674.7419734,51728,-4600.0
1606318676.857247,51968,-4600.0
1606318677.8848917,52208,-4200.0
1606318680.0059385,52448,-4400.0
1606318682.1963167,52688,-4700.0
1606318684.4317007,52928,-4600.0
1606318686.6990895,53168,-4700.0
1606318688.922772,53408,-4500.0
1606318691.1517596,53648,-4500.0
1606318693.3713102,53888,-4400.0
1606318694.4868233,54128,-4400.0
1606318696.4661376,54368,-3900.0
1606318698.6743479,54608,-4500.0
1606318700.9735482,54848,-4600.0
1606318703.1585746,55088,-4500.0
1606318705.266222,55328,-4400.0
1606318707.5115714,55568,-4500.0
1606318709.6241212,55808,-4800.0
1606318710.6210756,56048,-4300.0
1606318712.6325698,56288,-4200.0
1606318714.674958,56528,-4400.0
1606318716.5178483,56768,-3700.0
1606318718.5300996,57008,-4200.0
1606318720.6068058,57248,-4500.0
1606318722.6468134,57488,-4400.0
1606318724.7094944,57728,-4300.0
1606318725.657256,57968,-4000.0
1606318727.49936,58208,-3800.0
1606318729.5651722,58448,-4500.0
1606318731.609287,58688,-4400.0
1606318733.647632,58928,-4200.0
1606318735.6949692,59168,-4300.0
1606318737.8742907,59408,-4500.0
1606318739.8727088,59648,-4100.0
1606318740.9595368,59888,-4700.0
1606318742.9567885,60128,-4200.0
1606318744.876657,60368,-3800.0
1606318746.906443,60608,-4400.0
1606318748.8813467,60848,-4200.0
1606318750.8443522,61088,-4000.0
1606318752.8909438,61328,-4500.0
1606318754.873633,61568,-3800.0
1606318755.8788965,61808,-4300.0
1606318757.7586906,62048,-3800.0
1606318759.9034693,62288,-4700.0
1606318761.9192405,62528,-4200.0
1606318763.8346062,62768,-3800.0
1606318765.8352075,63008,-4300.0
1606318767.8489056,63248,-4100.0
1606318769.920776,63488,-4500.0
1606318770.9308138,63728,-4300.0
1606318772.6836069,63968,-3500.0
1606318774.691756,64208,-4000.0
1606318776.761402,64448,-4200.0
1606318778.9019701,64688,-4200.0
1606318781.0996263,64928,-4600.0
1606318783.2753615,65168,-4500.0
1606318785.391326,65408,-4400.0
1606318786.5117137,65648,-4400.0
1606318791.090674,65888,-4100.0
1606318793.1978178,66128,-4600.0
1606318795.2781708,66368,-4600.0
1606318797.3902721,66608,-4300.0
1606318799.5085084,66848,-4500.0
1606318801.4847732,67088,-4000.0
1606318803.511961,67328,-4300.0
1606318804.5219927,67568,-4300.0
1606318806.5406618,67808,-4400.0
1606318808.5869303,68048,-4500.0
1606318810.6353838,68288,-4000.0
1606318812.8981826,68528,-4700.0
1606318814.9205933,68768,-3900.0
1606318816.9303582,69008,-4300.0
1606318819.0040722,69248,-4300.0
1606318820.0350816,69488,-4500.0
1606318821.9845924,69728,-4000.0
1606318824.0767372,69968,-4300.0
1606318826.1163664,70208,-4700.0
1606318827.8538566,70448,-3100.0
1606318829.7129004,70688,-3600.0
1606318831.7112722,70928,-4100.0
1606318833.6936347,71168,-4400.0
1606318834.591526,71408,-3700.0
1606318836.603369,71648,-4300.0
1606318838.484995,71888,-3900.0
1606318840.6824498,72128,-4500.0
1606318842.4833436,72368,-3600.0
1606318844.4722393,72608,-4100.0
1606318846.4955206,72848,-4500.0
1606318848.55108,73088,-4300.0
1606318849.6269534,73328,-4600.0
1606318851.5450351,73568,-4100.0
1606318853.3976173,73808,-3800.0
1606318855.359935,74048,-4100.0
1606318857.4531603,74288,-4500.0
1606318859.4494162,74528,-4000.0
1606318861.5097709,74768,-4500.0
1606318863.4993825,75008,-4100.0
1606318864.5346968,75248,-4500.0
1606318866.648134,75488,-4400.0
1606318868.7418718,75728,-4600.0
1606318870.7513871,75968,-4000.0
1606318872.8888843,76208,-3900.0
1606318874.9151802,76448,-3700.0
1606318877.154553,76688,-4600.0
1606318879.4492824,76928,-4000.0
1606318880.6671617,77168,-4700.0
1606318882.7180588,77408,-4100.0
1606318884.8583002,77648,-4500.0
1606318887.0860913,77888,-4800.0
1606318889.2080898,78128,-4600.0
1606318891.290244,78368,-4500.0
1606318893.2905142,78608,-4100.0
1606318895.2590692,78848,-4100.0
1606318896.3360057,79088,-4400.0
1606318898.0272515,79328,-3200.0
1606318900.0403988,79568,-4400.0
1606318902.0219436,79808,-4100.0
1606318904.0670774,80048,-4600.0
1606318906.0329359,80288,-4100.0
1606318908.0737095,80528,-4400.0
1606318909.9392817,80768,-4000.0
1606318910.8586013,81008,-3500.0
1606318913.1140528,81248,-4500.0
1606318915.0373025,81488,-3700.0
