Wall time,Step,Value
1606329152.699884,368,-4300.0
1606329154.9963264,608,-4300.0
1606329157.1991408,848,-4300.0
1606329159.2099915,1088,-3600.0
1606329161.476155,1328,-4300.0
1606329163.7894495,1568,-4400.0
1606329166.0930593,1808,-4700.0
1606329168.1582525,2048,-4000.0
1606329169.1753662,2288,-3800.0
1606329171.3867831,2528,-4300.0
1606329173.6728873,2768,-4300.0
1606329175.8676212,3008,-4200.0
1606329178.005553,3248,-4100.0
1606329180.0471342,3488,-3500.0
1606329182.2132554,3728,-4400.0
1606329184.1820898,3968,-3600.0
1606329185.228423,4208,-3800.0
1606329187.5542872,4448,-4500.0
1606329189.8041582,4688,-4400.0
1606329192.019551,4928,-4300.0
1606329194.1977117,5168,-4000.0
1606329196.563134,5408,-4700.0
1606329198.7229712,5648,-4300.0
1606329200.8007302,5888,-3600.0
1606329201.9177387,6128,-4300.0
1606329204.1688213,6368,-4400.0
1606329206.321034,6608,-4100.0
1606329208.6016881,6848,-4400.0
1606329210.7986774,7088,-4100.0
1606329213.0270467,7328,-4500.0
1606329215.1683967,7568,-3900.0
1606329217.3455055,7808,-4600.0
1606329218.3458052,8048,-3600.0
1606329220.5116608,8288,-4200.0
1606329222.8028157,8528,-4400.0
1606329225.103999,8768,-4500.0
1606329227.4452763,9008,-4600.0
1606329229.888497,9248,-4300.0
1606329232.1355,9488,-4400.0
1606329234.2292933,9728,-4200.0
1606329235.2302682,9968,-3700.0
1606329237.2326097,10208,-3600.0
1606329239.4588203,10448,-4400.0
1606329241.5077522,10688,-3900.0
1606329243.6193829,10928,-4000.0
1606329245.7864137,11168,-3800.0
1606329248.1367395,11408,-4600.0
1606329250.4157388,11648,-4700.0
1606329251.535164,11888,-4100.0
1606329253.7617154,12128,-4200.0
1606329255.8913984,12368,-4000.0
1606329258.3201113,12608,-4700.0
1606329260.5747015,12848,-4300.0
1606329262.9452803,13088,-4600.0
1606329265.3226078,13328,-4700.0
1606329267.6923628,13568,-4500.0
1606329268.8827543,13808,-4700.0
1606329270.8699918,14048,-3700.0
1606329272.9582937,14288,-3800.0
1606329275.2404606,14528,-4700.0
1606329277.3778527,14768,-4000.0
1606329279.6412284,15008,-4600.0
1606329281.82136,15248,-4100.0
1606329284.0126827,15488,-4500.0
1606329285.0533032,15728,-3900.0
1606329287.2092762,15968,-4200.0
1606329289.3757193,16208,-4200.0
1606329291.5074418,16448,-3800.0
1606329293.6853642,16688,-3800.0
1606329295.8904474,16928,-4700.0
1606329297.798332,17168,-3900.0
1606329299.7668445,17408,-3900.0
1606329300.8347476,17648,-4600.0
1606329302.8517077,17888,-4300.0
1606329304.6253016,18128,-3500.0
1606329306.6071203,18368,-4200.0
1606329308.5156057,18608,-3800.0
1606329310.6110437,18848,-4600.0
1606329312.6662056,19088,-4400.0
1606329314.6901252,19328,-4300.0
1606329315.7138536,19568,-4400.0
1606329317.554551,19808,-3700.0
1606329319.6631348,20048,-4500.0
1606329321.624352,20288,-4000.0
1606329323.7520528,20528,-4600.0
1606329325.7816415,20768,-4100.0
