Wall time,Step,Value
1606342744.402865,240,0.0
1606342748.249519,480,800.0
1606342751.6767054,720,500.0
1606342755.296587,960,400.0
1606342760.5578623,1200,1000.0
1606342765.1704655,1440,1300.0
1606342770.7132018,1680,1300.0
1606342776.9015737,1920,600.0
1606342781.756607,2160,400.0
1606342787.7234817,2400,1100.0
1606342793.496349,2640,400.0
1606342799.6095698,2880,400.0
1606342806.1129978,3120,600.0
1606342811.4825578,3360,500.0
1606342817.5789587,3600,500.0
1606342823.8032246,3840,500.0
1606342829.4148576,4080,200.0
1606342835.3302608,4320,400.0
1606342841.3003867,4560,700.0
1606342847.0422573,4800,500.0
1606342853.1563983,5040,400.0
1606342859.1386788,5280,400.0
1606342864.8483293,5520,700.0
1606342870.9202247,5760,700.0
1606342876.7313483,6000,100.0
1606342881.6334267,6240,600.0
1606342887.8736928,6480,1100.0
1606342894.0067804,6720,200.0
1606342899.7323499,6960,200.0
1606342905.6046436,7200,900.0
1606342911.011846,7440,700.0
1606342916.3500896,7680,1300.0
1606342921.7083712,7920,1300.0
1606342927.401269,8160,900.0
1606342933.373422,8400,600.0
1606342940.1912813,8640,500.0
1606342945.5810688,8880,200.0
1606342951.4006987,9120,900.0
1606342957.432103,9360,400.0
1606342963.4055533,9600,400.0
1606342969.407677,9840,900.0
1606342975.456286,10080,300.0
1606342981.4214275,10320,400.0
1606342987.3910553,10560,500.0
1606342993.6424987,10800,500.0
1606343000.5935733,11040,700.0
1606343006.6650548,11280,600.0
1606343013.2394807,11520,1200.0
1606343018.8775926,11760,700.0
1606343025.2064996,12000,1000.0
1606343031.5428758,12240,300.0
1606343038.2681487,12480,600.0
1606343044.3817677,12720,100.0
1606343050.787683,12960,400.0
1606343057.6672728,13200,500.0
1606343065.0161521,13440,700.0
1606343071.9133058,13680,200.0
1606343078.3212624,13920,600.0
1606343085.1826332,14160,300.0
1606343091.1732676,14400,700.0
1606343097.5273762,14640,1100.0
1606343103.3522165,14880,700.0
1606343109.415452,15120,1500.0
1606343115.2671247,15360,1000.0
1606343122.2191014,15600,1300.0
1606343129.0165243,15840,100.0
1606343135.2644143,16080,600.0
1606343142.4649203,16320,400.0
1606343148.6256006,16560,200.0
1606343154.5725603,16800,1000.0
1606343162.2530162,17040,800.0
1606343168.7332542,17280,0.0
1606343175.2293518,17520,800.0
1606343181.820982,17760,200.0
1606343188.4626355,18000,800.0
1606343194.2707646,18240,300.0
1606343200.5560029,18480,1300.0
1606343207.543916,18720,300.0
1606343214.4811015,18960,800.0
1606343220.0637062,19200,500.0
1606343225.441532,19440,1300.0
1606343231.6992435,19680,1100.0
1606343238.0731037,19920,700.0
1606343245.481961,20160,300.0
1606343251.8888674,20400,700.0
1606343258.29733,20640,500.0
1606343265.1008348,20880,600.0
1606343271.7793572,21120,700.0
1606343279.3843834,21360,900.0
1606343285.9990869,21600,0.0
