Wall time,Step,Value
1606378535.8203893,240,-4780.0
1606378538.28276,480,-3900.0
1606378540.5710433,720,-4300.0
1606378542.7112305,960,-4600.0
1606378545.883776,1200,-2280.0
1606378549.317452,1440,-3580.0
1606378552.6832235,1680,-4100.0
1606378556.2436633,1920,-4600.0
1606378559.6185973,2160,-4100.0
1606378563.124766,2400,-4700.0
1606378566.482954,2640,-4600.0
1606378569.6540775,2880,-4200.0
1606378573.2034822,3120,-4200.0
1606378576.640426,3360,-4300.0
1606378580.0498748,3600,-4800.0
1606378583.3460066,3840,-4400.0
1606378586.5681322,4080,-4000.0
1606378589.8383348,4320,-4200.0
1606378593.2189767,4560,-3900.0
1606378596.5618892,4800,-4400.0
1606378599.8887439,5040,-4200.0
1606378602.946022,5280,-4300.0
1606378606.6263351,5520,-4100.0
1606378609.8195407,5760,-4700.0
1606378612.9075973,6000,-660.0
1606378616.2416086,6240,-3680.0
1606378619.156302,6480,-1240.0
1606378622.735102,6720,-3580.0
1606378625.9734583,6960,-4300.0
1606378629.3629308,7200,-4300.0
1606378632.8810227,7440,-4500.0
1606378636.028914,7680,-4600.0
1606378639.3269758,7920,-3800.0
1606378642.6999397,8160,-3800.0
1606378646.1108727,8400,-4700.0
1606378649.601344,8640,-4500.0
1606378652.6762683,8880,-4500.0
1606378655.9418123,9120,-4000.0
1606378659.2005029,9360,-4100.0
1606378662.2799761,9600,-1560.0
1606378665.4512043,9840,-3580.0
1606378668.7847543,10080,-3800.0
1606378672.164329,10320,-4500.0
