Wall time,Step,Value
1606379006.6665506,368,500.0
1606379010.0516498,608,300.0
1606379013.43296,848,300.0
1606379016.7066946,1088,600.0
1606379019.8352947,1328,900.0
1606379022.8836598,1568,900.0
1606379026.011563,1808,900.0
1606379029.3606126,2048,400.0
1606379031.0350356,2288,300.0
1606379034.1095884,2528,1000.0
1606379037.393385,2768,500.0
1606379040.4558413,3008,800.0
1606379043.432275,3248,1100.0
1606379046.6274335,3488,600.0
1606379049.877543,3728,800.0
1606379053.2748895,3968,300.0
1606379055.0595593,4208,100.0
1606379057.957896,4448,1100.0
1606379061.0640016,4688,1000.0
1606379064.6407554,4928,0.0
1606379068.2207365,5168,0.0
1606379071.726819,5408,100.0
1606379075.0395107,5648,400.0
1606379078.4385705,5888,300.0
1606379080.1355515,6128,400.0
1606379083.3916616,6368,500.0
1606379086.8269193,6608,200.0
1606379089.9392662,6848,400.0
1606379092.8018942,7088,1400.0
1606379096.2787492,7328,100.0
1606379099.6423311,7568,100.0
1606379102.8529923,7808,800.0
1606379104.574653,8048,200.0
1606379108.045834,8288,200.0
1606379111.176248,8528,800.0
1606379114.875205,8768,100.0
1606379118.1086197,9008,800.0
1606379121.4235175,9248,400.0
1606379124.647405,9488,600.0
1606379127.8814967,9728,600.0
1606379129.5213792,9968,700.0
1606379132.9052696,10208,200.0
1606379136.3443146,10448,100.0
1606379139.5274165,10688,700.0
1606379142.9307098,10928,100.0
1606379146.1180897,11168,600.0
1606379149.4742713,11408,400.0
1606379152.823675,11648,800.0
1606379154.5886805,11888,300.0
1606379157.979684,12128,400.0
1606379161.4157736,12368,300.0
1606379164.7575083,12608,400.0
1606379167.9409568,12848,800.0
1606379171.2254243,13088,500.0
1606379174.2843344,13328,1100.0
1606379177.6530247,13568,600.0
1606379179.5128937,13808,0.0
1606379182.6072724,14048,1000.0
1606379185.8688867,14288,500.0
1606379189.130567,14528,600.0
1606379192.5769365,14768,300.0
1606379195.8172774,15008,800.0
1606379199.1951892,15248,300.0
1606379202.4932415,15488,500.0
1606379204.1650765,15728,600.0
1606379207.1348975,15968,1100.0
1606379210.4210162,16208,700.0
1606379213.9469545,16448,100.0
1606379217.3969214,16688,100.0
1606379220.5954397,16928,700.0
1606379223.9419324,17168,500.0
1606379227.4492118,17408,100.0
1606379229.1536021,17648,500.0
1606379232.6300652,17888,300.0
1606379235.9902933,18128,600.0
1606379239.4976313,18368,200.0
1606379242.8550298,18608,400.0
1606379246.2297564,18848,500.0
1606379249.493516,19088,600.0
1606379252.965841,19328,100.0
1606379254.556229,19568,700.0
1606379257.8066382,19808,700.0
1606379261.326638,20048,300.0
1606379264.5208845,20288,700.0
1606379268.0671887,20528,500.0
1606379271.2918818,20768,700.0
1606379274.6925564,21008,100.0
1606379277.992709,21248,600.0
1606379279.6724148,21488,300.0
1606379283.0614614,21728,400.0
1606379286.1516304,21968,800.0
1606379289.6775973,22208,100.0
1606379292.761369,22448,700.0
1606379295.8567703,22688,800.0
1606379298.8787487,22928,1100.0
1606379302.2380207,23168,500.0
1606379304.024137,23408,200.0
1606379307.5474522,23648,200.0
1606379310.9548814,23888,300.0
1606379314.013944,24128,900.0
1606379317.1184027,24368,900.0
1606379320.071042,24608,1000.0
1606379323.1300795,24848,1100.0
1606379326.4698925,25088,200.0
1606379328.111675,25328,600.0
1606379331.5091147,25568,300.0
1606379334.8299987,25808,400.0
1606379338.0587423,26048,700.0
1606379341.5066206,26288,200.0
1606379344.8627892,26528,100.0
1606379348.1501963,26768,600.0
1606379351.3690562,27008,500.0
1606379352.914536,27248,1100.0
1606379356.3599052,27488,500.0
