Wall time,Step,Value
1606342721.823517,240,1300.0
1606342726.3188438,480,300.0
1606342730.721161,720,700.0
1606342735.234082,960,700.0
1606342741.2710097,1200,900.0
1606342746.956644,1440,600.0
1606342752.5355015,1680,800.0
1606342758.8148892,1920,300.0
1606342764.9010303,2160,300.0
1606342771.08093,2400,700.0
1606342777.0885017,2640,600.0
1606342782.9884894,2880,300.0
1606342789.5084147,3120,900.0
1606342795.0167706,3360,900.0
1606342800.6115706,3600,800.0
1606342807.1620965,3840,400.0
1606342812.3005373,4080,900.0
1606342818.090307,4320,500.0
1606342823.4250293,4560,800.0
1606342829.167178,4800,900.0
1606342834.9553685,5040,900.0
1606342840.5936782,5280,400.0
1606342846.7252975,5520,300.0
1606342852.3367357,5760,600.0
1606342858.6499968,6000,200.0
1606342864.0530949,6240,1000.0
1606342869.422529,6480,700.0
1606342874.4267485,6720,1500.0
1606342880.6423554,6960,500.0
1606342886.3619714,7200,700.0
1606342892.4169111,7440,500.0
1606342898.1550639,7680,700.0
1606342904.215384,7920,700.0
1606342910.7071342,8160,200.0
1606342916.8395798,8400,600.0
1606342922.3241298,8640,600.0
1606342928.440951,8880,600.0
1606342935.4189801,9120,100.0
1606342941.9497566,9360,0.0
1606342947.955862,9600,600.0
1606342954.0418487,9840,500.0
1606342959.1885595,10080,1200.0
1606342965.3674204,10320,300.0
1606342971.5230298,10560,400.0
1606342978.0417078,10800,100.0
1606342983.934663,11040,300.0
1606342989.6938133,11280,1000.0
1606342996.7219908,11520,100.0
1606343003.0459094,11760,600.0
1606343010.054947,12000,400.0
1606343015.9120998,12240,800.0
1606343021.180299,12480,900.0
1606343026.9091082,12720,500.0
1606343033.4433076,12960,200.0
1606343039.7463746,13200,800.0
1606343045.7925146,13440,900.0
1606343052.284388,13680,500.0
1606343058.908111,13920,600.0
1606343065.5276897,14160,600.0
1606343072.2930672,14400,500.0
1606343078.5326667,14640,400.0
1606343085.5740626,14880,700.0
1606343091.1247673,15120,1600.0
1606343097.1514854,15360,800.0
1606343104.1091378,15600,200.0
1606343109.7103977,15840,1100.0
1606343115.7918272,16080,800.0
1606343122.7852366,16320,300.0
1606343129.6684084,16560,300.0
1606343135.7203956,16800,700.0
1606343142.1128285,17040,700.0
1606343148.8509233,17280,600.0
1606343155.3392017,17520,600.0
1606343162.0874407,17760,500.0
1606343168.5575683,18000,900.0
1606343174.8844051,18240,800.0
1606343181.5334237,18480,600.0
1606343188.5268798,18720,500.0
1606343195.102056,18960,100.0
1606343201.8358169,19200,600.0
1606343207.952412,19440,300.0
1606343214.7504864,19680,200.0
1606343220.8695629,19920,900.0
1606343226.3898125,20160,1100.0
1606343232.6819339,20400,800.0
1606343238.7932189,20640,400.0
1606343245.2484834,20880,100.0
1606343252.1865456,21120,400.0
1606343259.1195543,21360,500.0
1606343265.8272943,21600,200.0
1606343271.5921519,21840,1100.0
1606343278.1984363,22080,600.0
