Wall time,Step,Value
1606378972.0091202,240,1000.0
1606378974.7339895,480,500.0
1606378977.4125493,720,600.0
1606378979.8202667,960,1200.0
1606378983.5797796,1200,1400.0
1606378987.4763556,1440,800.0
1606378991.2206511,1680,1100.0
1606378995.0861409,1920,600.0
1606378999.5429144,2160,200.0
1606379004.7093706,2400,0.0
1606379009.2271698,2640,800.0
1606379013.3094018,2880,1000.0
1606379017.9571846,3120,700.0
1606379022.3475988,3360,600.0
1606379026.7665665,3600,800.0
1606379031.28525,3840,700.0
1606379035.587435,4080,800.0
1606379039.7809477,4320,1100.0
1606379044.183961,4560,900.0
1606379048.7698646,4800,700.0
1606379053.4900854,5040,200.0
1606379058.112613,5280,200.0
1606379062.593776,5520,1000.0
1606379067.0130012,5760,500.0
1606379071.2971768,6000,1100.0
1606379075.8619878,6240,600.0
1606379079.9195166,6480,1200.0
1606379084.383623,6720,1200.0
1606379088.6159885,6960,800.0
1606379093.1214643,7200,400.0
1606379097.8656054,7440,100.0
1606379102.395651,7680,200.0
1606379106.8381197,7920,800.0
1606379111.4168563,8160,400.0
1606379115.9601607,8400,500.0
1606379120.7540574,8640,100.0
1606379125.519622,8880,0.0
1606379130.2521284,9120,600.0
1606379134.4713943,9360,700.0
1606379139.0774658,9600,500.0
1606379143.4198225,9840,900.0
1606379147.8118505,10080,500.0
1606379152.5985556,10320,700.0
1606379157.024449,10560,500.0
1606379161.7585094,10800,200.0
1606379166.4547687,11040,300.0
1606379170.5229137,11280,1200.0
1606379175.1010678,11520,500.0
1606379179.5936055,11760,1100.0
1606379184.2276547,12000,500.0
1606379188.5104618,12240,1400.0
1606379192.7527766,12480,700.0
1606379197.1404092,12720,900.0
1606379201.9841163,12960,0.0
1606379206.529743,13200,700.0
1606379211.0106673,13440,700.0
1606379215.4178524,13680,600.0
1606379219.6859682,13920,1000.0
1606379224.3999376,14160,300.0
1606379229.0348089,14400,400.0
1606379233.5869975,14640,700.0
1606379238.0825362,14880,400.0
1606379242.898338,15120,600.0
1606379247.3762786,15360,500.0
1606379251.8132663,15600,900.0
1606379256.6093512,15840,200.0
1606379260.901391,16080,600.0
1606379265.5150802,16320,400.0
1606379270.288509,16560,200.0
1606379274.9600918,16800,400.0
1606379279.3285596,17040,900.0
1606379283.794034,17280,300.0
1606379288.5380826,17520,400.0
