Wall time,Step,Value
1606342683.9655511,240,-4780.0
1606342687.9344177,480,-3500.0
1606342691.8374755,720,-4300.0
1606342696.2383206,960,-4000.0
1606342702.0164144,1200,-3900.0
1606342707.06154,1440,-3700.0
1606342712.3346252,1680,-4200.0
1606342719.0255175,1920,-3800.0
1606342725.3629963,2160,-4300.0
1606342731.9471648,2400,-4300.0
1606342737.9829226,2640,-4200.0
1606342743.0458047,2880,-3700.0
1606342749.4523096,3120,-3900.0
1606342755.5883284,3360,-4700.0
1606342761.5210598,3600,-4100.0
1606342767.4148884,3840,-4500.0
1606342773.1374242,4080,-4300.0
1606342779.4210892,4320,-4200.0
1606342785.0676167,4560,-4300.0
1606342791.5608153,4800,-4100.0
1606342797.0949535,5040,-4600.0
1606342802.8559966,5280,-4200.0
1606342808.6707132,5520,-3900.0
1606342814.579067,5760,-4200.0
1606342819.9943538,6000,-4700.0
1606342826.551498,6240,-4300.0
1606342832.1668563,6480,-4700.0
1606342838.3292432,6720,-4500.0
1606342844.3669612,6960,-4200.0
1606342850.3377383,7200,-4400.0
1606342856.4102643,7440,-4200.0
1606342861.8608253,7680,-4200.0
1606342867.7026274,7920,-3800.0
1606342873.6580968,8160,-3700.0
1606342878.5324662,8400,-4400.0
1606342884.6644075,8640,-3400.0
1606342890.8757443,8880,-4300.0
1606342896.6315174,9120,-4700.0
1606342902.7045908,9360,-4200.0
1606342908.475604,9600,-4200.0
1606342914.3179748,9840,-4400.0
1606342919.7947526,10080,-3800.0
1606342925.919757,10320,-3900.0
1606342931.5352607,10560,-4000.0
1606342937.8576243,10800,-3800.0
1606342944.2001836,11040,-4200.0
1606342949.4175923,11280,-4600.0
1606342955.03483,11520,-3800.0
1606342960.7862487,11760,-3900.0
1606342966.7023685,12000,-4000.0
1606342972.0556328,12240,-4100.0
1606342977.5505083,12480,-3900.0
1606342983.911673,12720,-4400.0
1606342989.34473,12960,-4500.0
1606342994.9421403,13200,-3600.0
1606343001.9100685,13440,-3800.0
1606343008.5095057,13680,-4600.0
1606343015.0050678,13920,-4600.0
1606343021.1892016,14160,-4300.0
1606343027.1652951,14400,-4600.0
1606343033.4617586,14640,-4100.0
1606343040.2688422,14880,-4200.0
1606343045.8656998,15120,-4500.0
1606343052.3635106,15360,-3300.0
1606343058.791651,15600,-4600.0
1606343064.5212514,15840,-4000.0
1606343071.2090461,16080,-3800.0
1606343078.0903695,16320,-4400.0
1606343084.4114046,16560,-4100.0
1606343091.4713864,16800,-4100.0
1606343097.4969513,17040,-4600.0
1606343103.7362812,17280,-3700.0
1606343110.6338468,17520,-3900.0
1606343117.7367923,17760,-4300.0
1606343123.5347161,18000,-4400.0
1606343130.103279,18240,-3300.0
1606343136.5615032,18480,-4400.0
1606343142.4175403,18720,-4100.0
1606343148.7918732,18960,-3500.0
1606343155.6375463,19200,-4000.0
1606343161.9118176,19440,-4500.0
1606343168.035798,19680,-4100.0
1606343174.982752,19920,-3900.0
1606343180.5825512,20160,-4500.0
1606343187.4192514,20400,-4100.0
1606343194.002603,20640,-3900.0
1606343200.4862454,20880,-4700.0
1606343207.2786756,21120,-4200.0
1606343213.7616045,21360,-4500.0
1606343220.0455225,21600,-4100.0
1606343226.9412527,21840,-3700.0
1606343233.0597498,22080,-4600.0
1606343240.0975263,22320,-4400.0
1606343246.6513498,22560,-4000.0
1606343253.8988547,22800,-4000.0
1606343260.0959504,23040,-4500.0
1606343267.0088432,23280,-4400.0
1606343273.1230924,23520,-4600.0
1606343279.37296,23760,-3900.0
1606343285.5770261,24000,-4200.0
1606343292.2854276,24240,-4300.0
1606343298.7201848,24480,-4200.0
1606343304.763833,24720,-4100.0
1606343310.8245811,24960,-4300.0
1606343318.238955,25200,-3900.0
1606343324.4913304,25440,-4600.0
1606343331.5942552,25680,-4200.0
1606343339.1145542,25920,-4200.0
1606343346.005714,26160,-4800.0
1606343353.3523293,26400,-4000.0
1606343359.1561716,26640,-4800.0
1606343364.8653731,26880,-4100.0
1606343370.7976522,27120,-4000.0
1606343377.4185188,27360,-4100.0
1606343384.05677,27600,-4800.0
1606343390.3748493,27840,-3800.0
1606343396.7698705,28080,-4300.0
1606343403.8179672,28320,-4100.0
1606343410.5991437,28560,-4700.0
1606343417.6862917,28800,-4100.0
1606343423.4942622,29040,-4200.0
1606343430.6413965,29280,-4100.0
1606343436.9911664,29520,-4600.0
1606343443.9634345,29760,-4400.0
1606343450.8301873,30000,-4100.0
