Wall time,Step,Value
1606342706.9867532,240,-4780.0
1606342710.5247557,480,-3900.0
1606342714.9625196,720,-3600.0
1606342719.4565392,960,-4300.0
1606342725.9232004,1200,-4600.0
1606342733.3252304,1440,-4700.0
1606342738.805985,1680,-4700.0
1606342745.3392878,1920,-3700.0
1606342750.0617394,2160,-4500.0
1606342756.0576296,2400,-3800.0
1606342761.795232,2640,-4000.0
1606342767.4470263,2880,-4000.0
1606342773.3412461,3120,-4400.0
1606342779.5539193,3360,-4100.0
1606342785.2740457,3600,-4400.0
1606342791.5348127,3840,-4500.0
1606342797.0345714,4080,-4700.0
1606342802.914853,4320,-3400.0
1606342808.5183506,4560,-3900.0
1606342813.6619685,4800,-4100.0
1606342820.14097,5040,-3600.0
1606342825.5791655,5280,-4600.0
1606342832.150561,5520,-4400.0
1606342838.3926015,5760,-4800.0
1606342843.884252,6000,-4700.0
1606342850.4086797,6240,-4100.0
1606342855.9076219,6480,-4600.0
1606342862.4734356,6720,-3900.0
1606342868.5841854,6960,-4400.0
1606342874.7503204,7200,-4100.0
1606342880.2149293,7440,-4100.0
1606342886.469217,7680,-4100.0
1606342891.7976112,7920,-4400.0
1606342896.989525,8160,-3400.0
1606342902.8166516,8400,-3600.0
1606342909.0825288,8640,-4400.0
1606342915.5183332,8880,-4700.0
1606342921.3736002,9120,-4400.0
1606342927.9731026,9360,-4300.0
1606342933.6287088,9600,-4200.0
1606342940.0580761,9840,-3700.0
1606342946.2449222,10080,-4600.0
1606342952.2287023,10320,-4100.0
1606342958.3236957,10560,-4500.0
1606342964.929462,10800,-4200.0
1606342970.2541096,11040,-4500.0
1606342975.7903395,11280,-3900.0
1606342982.0997415,11520,-3700.0
1606342988.0541146,11760,-4400.0
1606342994.4169424,12000,-4300.0
1606343000.4256852,12240,-4700.0
1606343007.546789,12480,-4300.0
1606343014.003566,12720,-4800.0
1606343019.840539,12960,-4000.0
1606343025.7690823,13200,-4000.0
1606343032.0811572,13440,-4000.0
1606343038.1263864,13680,-4100.0
1606343044.912471,13920,-4000.0
1606343052.1917472,14160,-4100.0
1606343059.1351626,14400,-4400.0
1606343066.2116795,14640,-4500.0
1606343072.5969298,14880,-4500.0
1606343079.2297957,15120,-3900.0
1606343086.587728,15360,-4300.0
1606343093.6594884,15600,-4500.0
1606343099.3094883,15840,-3800.0
1606343106.269946,16080,-3400.0
1606343112.5035586,16320,-4800.0
1606343118.7460046,16560,-3900.0
1606343126.2356086,16800,-4100.0
1606343132.2435832,17040,-4600.0
1606343139.2442026,17280,-3800.0
1606343145.8557734,17520,-4300.0
1606343151.2711737,17760,-3900.0
1606343157.693697,18000,-3200.0
1606343164.3501244,18240,-3600.0
1606343170.5380194,18480,-4700.0
1606343177.2429209,18720,-3800.0
1606343183.509337,18960,-4300.0
1606343190.0465283,19200,-4100.0
1606343195.9494731,19440,-3700.0
1606343202.2872028,19680,-3600.0
1606343209.0838733,19920,-4400.0
1606343215.162073,20160,-4200.0
1606343222.5556521,20400,-4000.0
1606343228.5129538,20640,-4400.0
1606343235.6570156,20880,-4100.0
1606343242.2850513,21120,-4700.0
1606343248.5190206,21360,-4000.0
1606343255.3776362,21600,-3900.0
1606343261.4794514,21840,-4000.0
1606343267.3781135,22080,-4200.0
1606343274.3232818,22320,-4200.0
1606343280.9609904,22560,-4400.0
1606343287.4140503,22800,-4700.0
1606343293.2341714,23040,-4100.0
1606343298.729544,23280,-3700.0
1606343305.5575278,23520,-3600.0
1606343311.914516,23760,-4200.0
1606343318.7043006,24000,-4700.0
1606343325.1765695,24240,-4400.0
1606343330.7946491,24480,-4400.0
1606343337.4920664,24720,-3800.0
1606343343.829868,24960,-4000.0
1606343350.0757196,25200,-4600.0
1606343355.9927714,25440,-3700.0
1606343361.9237003,25680,-4200.0
1606343368.488453,25920,-4200.0
1606343374.4556644,26160,-4400.0
1606343381.6882143,26400,-4200.0
1606343387.8876193,26640,-4600.0
1606343394.8313081,26880,-4000.0
1606343401.7655232,27120,-4700.0
1606343407.460396,27360,-4000.0
1606343414.8094985,27600,-3300.0
1606343421.1098225,27840,-4600.0
1606343427.7802577,28080,-3900.0
1606343435.4775944,28320,-4600.0
1606343442.2532835,28560,-4200.0
1606343449.1380014,28800,-4700.0
1606343456.3423324,29040,-4500.0
1606343462.416378,29280,-4600.0
1606343469.2121162,29520,-3900.0
1606343476.3687842,29760,-3800.0
1606343483.9910047,30000,-4700.0
1606343491.7834713,30240,-4600.0
1606343498.3218474,30480,-4700.0
1606343504.8608322,30720,-4100.0
1606343510.853971,30960,-3800.0
1606343517.444647,31200,-4100.0
1606343523.5427845,31440,-3800.0
1606343530.0586476,31680,-4100.0
